date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:56	44145/44145	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2019:23:55%20GMT	https://walletconnect.com/products	C:/My%20Web%20Sites/walletconn/walletconnect.com/products.html	(from https://walletconnect.com/)
20:23:56	51899/51899	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2019:23:56%20GMT	https://walletconnect.com/partners	C:/My%20Web%20Sites/walletconn/walletconnect.com/partners.html	(from https://walletconnect.com/)
20:23:56	24043/24043	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Jun%202023%2019:23:56%20GMT	https://walletconnect.com/explorer	C:/My%20Web%20Sites/walletconn/walletconnect.com/explorer.html	(from https://walletconnect.com/)
20:23:57	559/559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2281963e804d73b68743f14c106a1391d1%22	https://walletconnect.com/icons/header_twitter.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/header_twitter.svg	(from https://walletconnect.com/)
20:23:57	365/365	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2270d68cf95bd07160f1355c3855a29449%22	https://walletconnect.com/icons/header_mirror.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/header_mirror.svg	(from https://walletconnect.com/)
20:23:57	786/786	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249dfef0fa290bed0e3e3dab7f34c05e5%22	https://walletconnect.com/icons/header_github.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/header_github.svg	(from https://walletconnect.com/)
20:23:58	1177/1177	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a70e861bf81b1feaafe7f5f1a19a5773%22	https://walletconnect.com/icons/header_discord.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/header_discord.svg	(from https://walletconnect.com/)
20:23:58	220/220	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222797dd23c9784f374d1b3c16f5760916%22	https://walletconnect.com/_next/static/media/arrow_right_white.1e8e5748.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/arrow_right_white.1e8e5748.svg	(from https://walletconnect.com/)
20:23:58	223/223	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d0a9aaea3847819a3f797651cfd67ab3%22	https://walletconnect.com/_next/static/media/arrow_right_black.7f57cb8c.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/arrow_right_black.7f57cb8c.svg	(from https://walletconnect.com/)
20:23:59	1688/1688	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d233a53b2f243b2e3da0eefe5d9bdab%22	https://walletconnect.com/icons/w3i_icon_1.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/w3i_icon_1.svg	(from https://walletconnect.com/)
20:23:59	2357/2357	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2240cdcb414773f60875c944e220ae0bd9%22	https://walletconnect.com/icons/w3i_icon_2.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/w3i_icon_2.svg	(from https://walletconnect.com/)
20:23:59	1182/1182	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225090b09750c5fee56660e70ec0b17f92%22	https://walletconnect.com/icons/w3i_icon_3.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/icons/w3i_icon_3.svg	(from https://walletconnect.com/)
20:24:00	392634/392634	---M--	200	added ('OK')	image/png	etag:%22052ffb6693ba3972a4e8bdd6a5acea9e%22	https://walletconnect.com/_next/static/media/w3i_illustration.12766d16.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/w3i_illustration.12766d16.png	(from https://walletconnect.com/)
20:24:00	310949/310949	---M--	200	added ('OK')	image/jpeg	etag:%22bb0dd8109e8a374e9f77210de1a25106%22	https://walletconnect.com/_next/static/media/synth.648fc923.jpeg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/synth.648fc923.jpg	(from https://walletconnect.com/)
20:24:00	14150/14150	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Jun%202023%2019:24:00%20GMT	https://walletconnect.com/accordion	C:/My%20Web%20Sites/walletconn/walletconnect.com/accordion.20.delayed	(from https://walletconnect.com/)
20:24:01	382106/382106	---M--	200	added ('OK')	image/png	etag:%22335e0e2edd17876d5f69559b57123f00%22	https://walletconnect.com/_next/static/media/connect_wallet.f249ca36.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/connect_wallet.f249ca36.png	(from https://walletconnect.com/)
20:24:01	144097/144097	---M--	200	added ('OK')	image/png	etag:%22632a651c40baeb7253e7296851058b83%22	https://walletconnect.com/_next/static/media/modal_qr.f7946f6c.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/modal_qr.f7946f6c.png	(from https://walletconnect.com/)
20:24:01	338128/338128	---M--	200	added ('OK')	image/jpeg	etag:%2257cd92bfd658ae362f061b4a0fd8e346%22	https://walletconnect.com/_next/static/media/product_bg1.bccf6383.jpeg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/product_bg1.bccf6383.jpg	(from https://walletconnect.com/)
20:24:01	160564/160564	---M--	200	added ('OK')	image/png	etag:%22f8a1f57ffb1de92aec41dbcee729e266%22	https://walletconnect.com/_next/static/media/modal_linking.5bb87354.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/modal_linking.5bb87354.png	(from https://walletconnect.com/)
20:24:01	33750/33750	---M--	200	added ('OK')	image/png	etag:%22f797c8b39a7a76e9367db4beeefa6e88%22	https://walletconnect.com/_next/static/media/mirror_widget.3bc5e201.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/mirror_widget.3bc5e201.png	(from https://walletconnect.com/)
20:24:02	158192/158192	---M--	200	added ('OK')	image/png	etag:%2206bd8e359de96b6fc11cbde9381f8712%22	https://walletconnect.com/_next/static/media/shapeism_widget.6862f15d.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/shapeism_widget.6862f15d.png	(from https://walletconnect.com/)
20:24:02	19416/19416	---M--	200	added ('OK')	image/png	etag:%227b58982df3e6aa8e8fb42a3dff743f67%22	https://walletconnect.com/_next/static/media/uniswap_widget.31a66be9.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/uniswap_widget.31a66be9.png	(from https://walletconnect.com/)
20:24:02	230/230	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e6079a3686c76fe2cab8303caf6b311d%22	https://walletconnect.com/_next/static/media/arrow_right_blue.2e2cf95d.svg	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/arrow_right_blue.2e2cf95d.svg	(from https://walletconnect.com/)
20:24:02	9483/9483	---M--	200	added ('OK')	image/png	etag:%2263f85f00c877777a50dfffcd9c958f3c%22	https://walletconnect.com/images/rainbow_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/rainbow_icon.png	(from https://walletconnect.com/)
20:24:03	32266/32266	---M--	200	added ('OK')	image/png	etag:%22343b655c5a632cff44aceb6f84e8e12b%22	https://walletconnect.com/_next/static/media/rainbow_widget.b94216a7.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/rainbow_widget.b94216a7.png	(from https://walletconnect.com/)
20:24:03	13219/13219	---M--	200	added ('OK')	image/png	etag:%22ef90dca1016dc6f432353483559dd961%22	https://walletconnect.com/images/metamask_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/metamask_icon.png	(from https://walletconnect.com/)
20:24:03	29361/29361	---M--	200	added ('OK')	image/png	etag:%22f86bfa6023f776dcdde5b05e7217e4de%22	https://walletconnect.com/_next/static/media/metamask_widget.2a39575f.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/metamask_widget.2a39575f.png	(from https://walletconnect.com/)
20:24:04	8655/8655	---M--	200	added ('OK')	image/png	etag:%2271c727262dbfee51644674f282cb0b8c%22	https://walletconnect.com/images/argent_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/argent_icon.png	(from https://walletconnect.com/)
20:24:04	85066/85066	---M--	200	added ('OK')	image/png	etag:%223a39249234e2532846cca34d7d08385f%22	https://walletconnect.com/_next/static/media/argent_widget.d9075557.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/_next/static/media/argent_widget.d9075557.png	(from https://walletconnect.com/)
20:24:04	7060/7060	---M--	200	added ('OK')	image/png	etag:%22933b21ef21633098a43b58fbccfa844f%22	https://walletconnect.com/images/unstoppable_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/unstoppable_icon.png	(from https://walletconnect.com/)
20:24:05	12797/12797	---M--	200	added ('OK')	image/png	etag:%2201c7d26f620eeb904a2debccb73bb798%22	https://walletconnect.com/images/spot_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/spot_icon.png	(from https://walletconnect.com/)
20:24:05	10195/10195	---M--	200	added ('OK')	image/png	etag:%22267272483d29707a491b5844dae702eb%22	https://walletconnect.com/images/trust_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/trust_icon.png	(from https://walletconnect.com/)
20:24:06	18736/18736	---M--	200	added ('OK')	image/png	etag:%226fe993a2302a9e834fbb4193a11085c6%22	https://walletconnect.com/images/zerion_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/zerion_icon.png	(from https://walletconnect.com/)
20:24:06	10723/10723	---M--	200	added ('OK')	image/png	etag:%223a80b7b2ca25870c9392cce118ab5a1d%22	https://walletconnect.com/images/zengo_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/zengo_icon.png	(from https://walletconnect.com/)
20:24:06	12551/12551	---M--	200	added ('OK')	image/png	etag:%2269129753eaa453fcf3febda8eeb6e7cc%22	https://walletconnect.com/images/assure_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/assure_icon.png	(from https://walletconnect.com/)
20:24:07	12197/12197	---M--	200	added ('OK')	image/png	etag:%22c8c0edd7edd13c4377fa58be1bc179a7%22	https://walletconnect.com/images/imtoken_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/imtoken_icon.png	(from https://walletconnect.com/)
20:24:07	3917/3917	---M--	200	added ('OK')	image/png	etag:%2242c2a3c21b5aa1488f0878b4eba15bd6%22	https://walletconnect.com/images/pillar_icon.png	C:/My%20Web%20Sites/walletconn/walletconnect.com/images/pillar_icon.png	(from https://walletconnect.com/)
